Categoría, Subcategoría, Sección, Producto, Detalle, Precio
"Arroz, legumbres y pasta", "Pasta y fideos", "Fideos", "Pasta infantil con vegetales Hacendado", "Paquete 500 g", 0.80
"Arroz, legumbres y pasta", "Pasta y fideos", "Fideos", "Fideo integral Hacendado", "Paquete 500 g", 1.10
"Arroz, legumbres y pasta", "Pasta y fideos", "Fideos", "Tapioca Tipiak", "Caja 225 g", 1.45
"Arroz, legumbres y pasta", "Pasta y fideos", "Fideos", "Fideo sin gluten con quinoa Felicia", "Paquete 500 g", 1.70
"Arroz, legumbres y pasta", "Pasta y fideos", "Macarrones, pajaritas y hélices", "Pajaritas vegetales Hacendado", "Paquete 500 g", 1.00
"Arroz, legumbres y pasta", "Pasta y fideos", "Macarrones, pajaritas y hélices", "Penne integral Hacendado", "Paquete 500 g", 0.85
"Arroz, legumbres y pasta", "Pasta y fideos", "Macarrones, pajaritas y hélices", "Tortiglioni Armando", "Paquete 500 g", 1.20
"Arroz, legumbres y pasta", "Pasta y fideos", "Macarrones, pajaritas y hélices", "Hélices con vegetales Hacendado", "Paquete 1 kg", 1.48
"Arroz, legumbres y pasta", "Pasta y fideos", "Macarrones, pajaritas y hélices", "Macarrón fino Hacendado", "Paquete 500 g", 0.78
"Arroz, legumbres y pasta", "Pasta y fideos", "Macarrones, pajaritas y hélices", "Macarrón al huevo Hacendado", "Paquete 500 g", 1.30
"Arroz, legumbres y pasta", "Pasta y fideos", "Macarrones, pajaritas y hélices", "Macarrón Hacendado", "Paquete 1 kg", 1.20
"Arroz, legumbres y pasta", "Pasta y fideos", "Macarrones, pajaritas y hélices", "Penne Armando", "Paquete 500 g", 1.20
"Arroz, legumbres y pasta", "Pasta y fideos", "Macarrones, pajaritas y hélices", "Fusilli 100% lentejas rojas Felicia", "Paquete 250 g", 1.70
"Arroz, legumbres y pasta", "Pasta y fideos", "Macarrones, pajaritas y hélices", "Trottole vegetales Hacendado", "Paquete 500 g", 1.00
"Arroz, legumbres y pasta", "Pasta y fideos", "Macarrones, pajaritas y hélices", "Fusilli Armando", "Paquete 500 g", 1.20
"Arroz, legumbres y pasta", "Pasta y fideos", "Macarrones, pajaritas y hélices", "Pasta tiburón Hacendado", "Paquete 500 g", 0.78
"Arroz, legumbres y pasta", "Pasta y fideos", "Macarrones, pajaritas y hélices", "Penne sin gluten Felicia", "Paquete 500 g", 1.70
"Arroz, legumbres y pasta", "Pasta y fideos", "Macarrones, pajaritas y hélices", "Penne de trigo sarraceno Felicia", "Paquete 250 g", 1.70
"Arroz, legumbres y pasta", "Pasta y fideos", "Macarrones, pajaritas y hélices", "Hélices Hacendado", "Paquete 500 g", 0.78
"Arroz, legumbres y pasta", "Pasta y fideos", "Macarrones, pajaritas y hélices", "Macarrón Hacendado", "Paquete 500 g", 0.78
"Arroz, legumbres y pasta", "Pasta y fideos", "Macarrones, pajaritas y hélices", "Fusilli sin gluten vegetales Felicia", "Paquete 500 g", 1.70
"Arroz, legumbres y pasta", "Pasta y fideos", "Spaghetti y tallarines", "Tallarín Hacendado", "Paquete 500 g", 0.78
"Arroz, legumbres y pasta", "Pasta y fideos", "Spaghetti y tallarines", "Spaghetti integral Hacendado", "Paquete 500 g", 0.85
"Arroz, legumbres y pasta", "Pasta y fideos", "Spaghetti y tallarines", "Nidos al huevo tagliatelle Hacendado", "Paquete 500 g", 1.50
"Arroz, legumbres y pasta", "Pasta y fideos", "Spaghetti y tallarines", "Nidos vegetales Hacendado", "Paquete 500 g", 1.50
"Arroz, legumbres y pasta", "Pasta y fideos", "Spaghetti y tallarines", "Spaghetti Hacendado", "Paquete 1 kg", 1.20
"Arroz, legumbres y pasta", "Pasta y fideos", "Spaghetti y tallarines", "Spaghetti Armando", "Caja 500 g", 1.20
"Arroz, legumbres y pasta", "Pasta y fideos", "Spaghetti y tallarines", "Spaghetti Hacendado", "Paquete 500 g", 0.78
"Arroz, legumbres y pasta", "Pasta y fideos", "Spaghetti y tallarines", "Tagliatelle frescos al huevo Hacendado", "Paquete 250 g", 1.10
"Arroz, legumbres y pasta", "Pasta y fideos", "Spaghetti y tallarines", "Spaghetti sin gluten con quinoa Felicia", "Paquete 500 g", 1.70
"Arroz, legumbres y pasta", "Pasta y fideos", "Pasta rellena", "Tortellini con carne Pagani", "Paquete 250 g", 1.10
"Arroz, legumbres y pasta", "Pasta y fideos", "Pasta rellena", "Tortelloni fresco carne Hacendado", "Bandeja 250 g", 1.65
"Arroz, legumbres y pasta", "Pasta y fideos", "Pasta rellena", "Ravioli fresco requesón y espinacas Hacendado", "Bandeja 250 g", 1.65
"Arroz, legumbres y pasta", "Pasta y fideos", "Pasta rellena", "Tortellini con tres quesos Pagani", "Paquete 250 g", 1.10
"Arroz, legumbres y pasta", "Pasta y fideos", "Pasta rellena", "Gnocchi frescos Hacendado", "Paquete 500 g", 1.10
"Arroz, legumbres y pasta", "Pasta y fideos", "Pasta rellena", "Medialunas frescas setas con boletus Bel Canto", "Bandeja 250 g", 2.20
"Arroz, legumbres y pasta", "Pasta y fideos", "Pasta rellena", "Girasoles frescos con quesos Hacendado", "Bandeja 250 g", 1.65
"Arroz, legumbres y pasta", "Pasta y fideos", "Pasta rellena", "Tortellini con ricotta y espinacas Pagani", "Paquete 250 g", 1.10
"Arroz, legumbres y pasta", "Pasta y fideos", "Pasta rellena", "Medialunas frescas parmigiano reggiano y trufa Bel Canto", "Bandeja 250 g", 2.40
"Arroz, legumbres y pasta", "Pasta y fideos", "Pasta rellena", "Redondos frescos berenjena, tomate y mozzarella Bel Canto", "Bandeja 250 g", 2.20
"Arroz, legumbres y pasta", "Pasta y fideos", "Pasta rellena", "Medialunas frescas calabaza y crema de quesos Bel Canto", "Bandeja 250 g", 2.20
"Arroz, legumbres y pasta", "Pasta y fideos", "Pasta rellena", "Gnocchi frescos al pesto Hacendado", "Bandeja 400 g", 1.70
"Arroz, legumbres y pasta", "Pasta y fideos", "Pasta rellena", "Tortellini fresco jamón Hacendado", "Paquete 250 g", 1.65
"Arroz, legumbres y pasta", "Pasta y fideos", "Pasta rellena", "Tortelloni fresco sin gluten carne Hacendado", "Paquete 250 g", 2.40
"Arroz, legumbres y pasta", "Pasta y fideos", "Pasta rellena", "Ravioli fresco espinacas, brócoli y aceitunas Hacendado", "Bandeja 250 g", 2.20
"Arroz, legumbres y pasta", "Pasta y fideos", "Lasaña y canelones", "Placas para lasaña precocidas El Pavo", "Caja 18 placas (200 g)", 1.55
"Arroz, legumbres y pasta", "Pasta y fideos", "Lasaña y canelones", "Placas para lasaña precocidas Antico Pastificio", "Paquete 14 placas (250 g)", 1.05
"Arroz, legumbres y pasta", "Pasta y fideos", "Lasaña y canelones", "Placas para canelones tradicionales Hacendado", "Caja 20 placas (160 g)", 0.70
"Arroz, legumbres y pasta", "Pasta y fideos", "Lasaña y canelones", "Cannelloni tubos precocidos Hacendado", "Caja 24 ud. (250 g)", 1.35
"Arroz, legumbres y pasta", "Pasta y fideos", "Lasaña y canelones", "Lasaña sin gluten de maíz y arroz Felicia", "Caja 250 g", 2.35
"Arroz, legumbres y pasta", "Pasta y fideos", "Fideos orientales", "Pasta oriental sabor pollo frango Maggi", "Paquete 71 g", 0.77
"Arroz, legumbres y pasta", "Pasta y fideos", "Fideos orientales", "Fideos orientales Yakisoba classic Gallina Blanca", "Vaso 93 g", 1.70
"Arroz, legumbres y pasta", "Pasta y fideos", "Fideos orientales", "Fideos orientales Yatekomo de pollo Gallina Blanca", "3 vasos x 60 g", 3.15
"Arroz, legumbres y pasta", "Pasta y fideos", "Fideos orientales", "Fideos orientales Yatekomo de pollo Gallina Blanca", "Vaso 60 g", 1.25
"Arroz, legumbres y pasta", "Pasta y fideos", "Fideos orientales", "Fideos orientales Yakisoba de pollo Gallina Blanca", "Vaso 93 g", 1.70
"Arroz, legumbres y pasta", "Pasta y fideos", "Fideos orientales", "Fideos orientales Yakisoba curry Hacendado", "Vaso 80 g", 1.10
"Arroz, legumbres y pasta", "Pasta y fideos", "Fideos orientales", "Fideos orientales Yakisoba sabor pollo Hacendado", "Vaso 80 g", 1.10
"Arroz, legumbres y pasta", "Pasta y fideos", "Fideos orientales", "Fideos orientales Yakisoba sabor pollo Hacendado", "Paquete 90 g", 0.85
"Arroz, legumbres y pasta", "Pasta y fideos", "Fideos orientales", "Pasta oriental sabor gamba camarao Maggi", "Paquete 71 g", 0.77
"Arroz, legumbres y pasta", "Pasta y fideos", "Fideos orientales", "Fideos orientales Yakisoba soja Hacendado", "Vaso 80 g", 1.10
"Arroz, legumbres y pasta", "Pasta y fideos", "Fideos orientales", "Fideos orientales Yakisoba soja Hacendado", "Paquete 90 g", 0.85
"Arroz, legumbres y pasta", "Pasta y fideos", "Fideos orientales", "Noodles sabor pollo Hacendado", "Vaso 65 g", 0.85
"Arroz, legumbres y pasta", "Pasta y fideos", "Fideos orientales", "Noodles sabor gamba Hacendado", "Vaso 65 g", 0.85
"Arroz, legumbres y pasta", "Pasta y fideos", "Fideos orientales", "Noodles sabor picante Hacendado", "Vaso 65 g", 0.85
"Arroz, legumbres y pasta", "Pasta y fideos", "Fideos orientales", "Ramen con panceta Hacendado", "Bandeja 180 g", 2.20
"Azúcar, caramelos y chocolate", "Azúcar y edulcorante", "Azúcar", "Azúcar blanco", "Paquete 2 kg", 1.54
"Azúcar, caramelos y chocolate", "Azúcar y edulcorante", "Azúcar", "Azúcar blanco", "Paquete 1 kg", 0.77
"Azúcar, caramelos y chocolate", "Azúcar y edulcorante", "Azúcar", "Azúcar blanco en sobres Acor", "Caja 50 sticks (350 g)", 1.15
"Azúcar, caramelos y chocolate", "Azúcar y edulcorante", "Azúcar", "Azúcar moreno de caña Acor", "Caja 1 kg", 1.65
"Azúcar, caramelos y chocolate", "Azúcar y edulcorante", "Azúcar", "Panela azúcar moreno de caña integral Hacendado", "Paquete 500 g", 1.80
"Azúcar, caramelos y chocolate", "Azúcar y edulcorante", "Azúcar", "Azúcar Mascavado Hacendado", "Paquete 500 g", 1.70
"Azúcar, caramelos y chocolate", "Azúcar y edulcorante", "Edulcorante y otros", "Edulcorante líquido sacarina Hacendado", "Bote 150 ml", 1.00
"Azúcar, caramelos y chocolate", "Azúcar y edulcorante", "Edulcorante y otros", "Edulcorante en pastillas sacarina Hacendado", "Bote 850 pastillas (52 g)", 1.25
"Azúcar, caramelos y chocolate", "Azúcar y edulcorante", "Edulcorante y otros", "Edulcorante en sobres sacarina Hacendado", "Caja 60 sobres (60 g)", 1.30
"Azúcar, caramelos y chocolate", "Azúcar y edulcorante", "Edulcorante y otros", "Sirope de agave", "Bote 350 g", 2.50
"Azúcar, caramelos y chocolate", "Azúcar y edulcorante", "Edulcorante y otros", "Edulcorante líquido stevia Hacendado", "Bote 150 ml", 2.10
"Azúcar, caramelos y chocolate", "Azúcar y edulcorante", "Edulcorante y otros", "Edulcorante granulado stevia Hacendado", "Bote 200 g", 3.20
"Azúcar, caramelos y chocolate", "Azúcar y edulcorante", "Edulcorante y otros", "Edulcorante en pastillas stevia Hacendado", "Bote 175 pastillas (9 g)", 1.85
"Azúcar, caramelos y chocolate", "Azúcar y edulcorante", "Edulcorante y otros", "Edulcorante en sobres stevia Hacendado", "Caja 54 sobres (54 g)", 2.00
"Azúcar, caramelos y chocolate", "Azúcar y edulcorante", "Edulcorante y otros", "Edulcorante en pastillas aspartamo Hacendado", "Bote 650 pastillas (39 g)", 1.75
"Azúcar, caramelos y chocolate", "Azúcar y edulcorante", "Edulcorante y otros", "Fructosa Hacendado", "Paquete 750 g", 3.15
"Azúcar, caramelos y chocolate", "Chicles y caramelos", "Chicles", "Chicle menta fresca gragea Hacendado", "Bote 70 chicles (100 g)", 2.40
"Azúcar, caramelos y chocolate", "Chicles y caramelos", "Chicles", "Chicle menta fuerte gragea Hacendado", "Paquete 32 chicles (45 g)", 0.85
"Azúcar, caramelos y chocolate", "Chicles y caramelos", "Chicles", "Chicle menta fuerte gragea Hacendado", "Bote 70 chicles (100 g)", 1.90
"Azúcar, caramelos y chocolate", "Chicles y caramelos", "Chicles", "Chicle hierbabuena gragea Hacendado", "Paquete 32 chicles (45 g)", 0.85
"Azúcar, caramelos y chocolate", "Chicles y caramelos", "Chicles", "Chicle hierbabuena gragea Hacendado", "Bote 70 chicles (100 g)", 1.90
"Azúcar, caramelos y chocolate", "Chicles y caramelos", "Chicles", "Chicle hierbabuena lámina Hacendado", "Paquete 12 chicles (31 g)", 0.80
"Azúcar, caramelos y chocolate", "Chicles y caramelos", "Chicles", "Chicle menta suave gragea Hacendado", "Paquete 32 chicles (45 g)", 0.85
"Azúcar, caramelos y chocolate", "Chicles y caramelos", "Chicles", "Chicle fresa gragea Hacendado", "Paquete 32 chicles (45 g)", 0.85
"Azúcar, caramelos y chocolate", "Chicles y caramelos", "Chicles", "Chicle fresa gragea Hacendado", "Bote 70 chicles (100 g)", 1.90
"Azúcar, caramelos y chocolate", "Chicles y caramelos", "Chicles", "Chicle fresa lámina Hacendado", "Paquete 12 ud. (31 g)", 0.80
"Azúcar, caramelos y chocolate", "Chicles y caramelos", "Chicles", "Chicle original sabor frutas gragea Hacendado", "Paquete 32 chicles (45 g)", 0.85
"Azúcar, caramelos y chocolate", "Chicles y caramelos", "Chicles", "Chicle regaliz y menta gragea Hacendado", "Paquete 32 chicles (45 g)", 1.00
"Azúcar, caramelos y chocolate", "Chicles y caramelos", "Chicles", "Chicle sandía lámina Hacendado", "Paquete 12 chicles (31 g)", 0.80
"Azúcar, caramelos y chocolate", "Chicles y caramelos", "Chicles", "Chicle XXL gragea Hacendado", "Paquete 25 chicles (100 g)", 1.70
"Azúcar, caramelos y chocolate", "Chicles y caramelos", "Chicles", "Chicle jengibre gragea Hacendado", "Paquete 32 chicles (45 g)", 1.00
"Azúcar, caramelos y chocolate", "Chicles y caramelos", "Chicles", "Chicle mentol mix XXL gragea Hacendado", "Paquete 25 chicles (100 g)", 1.70
"Azúcar, caramelos y chocolate", "Chicles y caramelos", "Chicles", "Chicles surtidos gragea Hacendado", "Paquete 48 chicles (68 g)", 1.50
"Azúcar, caramelos y chocolate", "Chicles y caramelos", "Caramelos", "Caramelos nata Hacendado 0% azúcares", "Paquete 90 g", 1.00
"Azúcar, caramelos y chocolate", "Chicles y caramelos", "Caramelos", "Caramelos café Hacendado 0% azúcares", "Paquete 90 g", 1.00
"Azúcar, caramelos y chocolate", "Chicles y caramelos", "Caramelos", "Caramelos sabor eucalipto y mentol Hacendado 0% azúcares", "Paquete 90 g", 0.85
"Azúcar, caramelos y chocolate", "Chicles y caramelos", "Caramelos", "Caramelos surtidos 6 sabores Hacendado", "Paquete 500 g", 1.90
"Azúcar, caramelos y chocolate", "Chicles y caramelos", "Caramelos", "Caramelos eucaliptus mentol Respiral Halls", "Paquete 150 g", 1.20
"Azúcar, caramelos y chocolate", "Chicles y caramelos", "Caramelos", "Caramelos cítricos mix Halls", "4 paquetes x 32 g", 1.95
"Azúcar, caramelos y chocolate", "Chicles y caramelos", "Caramelos", "Caramelos limón mentol Respiral Halls", "Paquete 150 g", 1.20
"Azúcar, caramelos y chocolate", "Chicles y caramelos", "Caramelos", "Caramelos original Halls", "4 paquetes x 32 g", 1.95
"Azúcar, caramelos y chocolate", "Chicles y caramelos", "Caramelos", "Caramelos blandos Hacendado", "Paquete 300 g", 1.20
"Azúcar, caramelos y chocolate", "Chicles y caramelos", "Caramelos", "Caramelos miel sabor limón Pifarré", "Paquete 125 g", 0.90
"Azúcar, caramelos y chocolate", "Chicles y caramelos", "Caramelos", "Caramelos blandos rellenos Dolis", "Paquete 300 g", 1.70
"Azúcar, caramelos y chocolate", "Chicles y caramelos", "Caramelos", "Caramelos sabor regaliz y mentol Hacendado 0% azúcares", "Paquete 90 g", 1.00
"Azúcar, caramelos y chocolate", "Chicles y caramelos", "Caramelos", "Caramelos con palo 4 sabores Chupa Chups", "Paquete 12 ud. (144 g)", 1.60
"Azúcar, caramelos y chocolate", "Chicles y caramelos", "Caramelos", "Caramelos menta minigrageas Smint", "2 ud. x 8 g", 2.00
"Azúcar, caramelos y chocolate", "Chicles y caramelos", "Caramelos", "Caramelos mantequilla y nata Werther's original", "Paquete 150 g", 1.60
"Azúcar, caramelos y chocolate", "Chicles y caramelos", "Caramelos", "Caramelos regaliz mentol Respiral Halls", "Paquete 150 g", 1.20
"Azúcar, caramelos y chocolate", "Chicles y caramelos", "Caramelos", "Caramelos jengibre y própolis Hacendado 0% azúcares", "Paquete 90 g", 1.20
"Azúcar, caramelos y chocolate", "Chicles y caramelos", "Caramelos", "Caramelos Mix Fruits Hacendado 0% azúcares", "Paquete 100 g", 1.10
"Azúcar, caramelos y chocolate", "Chicles y caramelos", "Caramelos", "Caramelos con palo Cherry Stick Hacendado con chicle sabor cereza", "Paquete 7 ud. (105 g)", 1.00
"Azúcar, caramelos y chocolate", "Chocolate", "Chocolate negro", "Chocolate negro 85% cacao extrafino Hacendado", "Tableta 100 g", 1.05
"Azúcar, caramelos y chocolate", "Chocolate", "Chocolate negro", "Chocolate negro fundir Hacendado", "Tableta 200 g", 0.90
"Azúcar, caramelos y chocolate", "Chocolate", "Chocolate negro", "Chocolatinas de chocolate negro 72% cacao extrafino Hacendado", "Paquete 200 g", 2.00
"Azúcar, caramelos y chocolate", "Chocolate", "Chocolate negro", "Chocolate negro extrafino Hacendado", "Tableta 150 g", 0.75
"Azúcar, caramelos y chocolate", "Chocolate", "Chocolate negro", "Chocolate 70% negro Valor 0% azúcares añadidos", "Tableta 125 g", 2.00
"Azúcar, caramelos y chocolate", "Chocolate", "Chocolate negro", "Chocolate negro 72% de cacao Hacendado con pepitas de cacao caramelizadas", "Tableta 100 g", 0.90
"Azúcar, caramelos y chocolate", "Chocolate", "Chocolate negro", "Chocolate negro 72% de cacao Hacendado", "Tableta 100 g", 0.75
"Azúcar, caramelos y chocolate", "Chocolate", "Chocolate negro", "Chocolate negro extrafino Hacendado con almendras enteras", "Tableta 200 g", 1.29
"Azúcar, caramelos y chocolate", "Chocolate", "Chocolate negro", "Chocolate puro Valor", "Tableta 300 g", 2.50
"Azúcar, caramelos y chocolate", "Chocolate", "Chocolate negro", "Chocolate puro Valor con almendras enteras", "Tableta 250 g", 2.50
"Azúcar, caramelos y chocolate", "Chocolate", "Chocolate negro", "Chocolate negro extrafino y edulcorante Hacendado 0% azúcares añadidos", "Tableta 125 g", 1.20
"Azúcar, caramelos y chocolate", "Chocolate", "Chocolate negro", "Mini barritas chocolate negro 70% cacao Hacendado con semillas y galleta", "Paquete 12 ud. (130 g)", 1.55
"Azúcar, caramelos y chocolate", "Chocolate", "Chocolate negro", "Chocolate negro relleno de mousse Hacendado", "Tableta 140 g", 1.35
"Azúcar, caramelos y chocolate", "Chocolate", "Chocolate negro", "Chocolate puro Valor con almendras enteras", "Tableta 150 g", 2.70
"Azúcar, caramelos y chocolate", "Chocolate", "Chocolate negro", "Chocolate negro 55% cacao Hacendado con avellanas enteras", "Tableta 180 g", 1.35
"Azúcar, caramelos y chocolate", "Chocolate", "Chocolate negro", "Chocolatinas de chocolate negro Royal Mints 49% rellenas de crema sabor a menta", "Caja 200 g", 1.50
"Azúcar, caramelos y chocolate", "Chocolate", "Chocolate negro", "Chocolate negro extrafino Fussion Hacendado relleno sabor menta", "Tableta 100 g", 0.80
"Azúcar, caramelos y chocolate", "Chocolate", "Chocolate negro", "Gotas de chocolate negro para fundir Hacendado", "Paquete 250 g", 1.60
"Azúcar, caramelos y chocolate", "Chocolate", "Chocolate negro", "Chocolate negro 72% cacao extrafino Hacendado con almendras enteras", "Tableta 200 g", 1.70
"Azúcar, caramelos y chocolate", "Chocolate", "Chocolate negro", "Chocolatinas de chocolate negro 85% cacao extrafino Hacendado", "Paquete 200 g", 2.30
"Azúcar, caramelos y chocolate", "Chocolate", "Chocolate negro", "Chocolate negro 72% cacao Hacendado con trozos de naranja", "Tableta 100 g", 1.20
"Azúcar, caramelos y chocolate", "Chocolate", "Chocolate negro", "Chocolate negro 85% cacao extrafino y edulcorante Hacendado 0% azúcares añadidos", "Tableta 100 g", 1.40
"Azúcar, caramelos y chocolate", "Chocolate", "Chocolate negro", "Chocolate negro 70% cacao fundir Hacendado 0% azúcares añadidos", "Tableta 200 g", 1.55
"Azúcar, caramelos y chocolate", "Chocolate", "Chocolate negro", "99% cacao negro Hacendado", "Tableta 100 g", 1.50
"Azúcar, caramelos y chocolate", "Chocolate", "Chocolate con leche", "Chocolate con leche classic Hacendado", "Tableta 150 g", 0.70
"Azúcar, caramelos y chocolate", "Chocolate", "Chocolate con leche", "Chocolate con leche extrafino Nestlé", "Tableta 125 g", 1.00
"Azúcar, caramelos y chocolate", "Chocolate", "Chocolate con leche", "Chocolate con leche Oreo Milka", "Tableta 100 g", 0.90
"Azúcar, caramelos y chocolate", "Chocolate", "Chocolate con leche", "Chocolate con leche Milka", "Tableta 150 g", 1.05
"Azúcar, caramelos y chocolate", "Chocolate", "Chocolate con leche", "Chocolate extrafino con leche Hacendado almendras enteras", "Tableta 200 g", 1.35
"Azúcar, caramelos y chocolate", "Chocolate", "Chocolate con leche", "Chocolate con leche Hacendado", "Tableta 100 g", 0.40
"Azúcar, caramelos y chocolate", "Chocolate", "Chocolate con leche", "Chocolate con leche Valor almendras enteras", "Tableta 250 g", 2.50
"Azúcar, caramelos y chocolate", "Chocolate", "Chocolate con leche", "Chocolate con leche Hacendado avellanas troceadas", "Tableta 150 g", 0.90
"Azúcar, caramelos y chocolate", "Chocolate", "Chocolate con leche", "Chocolate extrafino con leche Hacendado 0% azúcares añadidos", "Tableta 125 g", 1.20
"Azúcar, caramelos y chocolate", "Chocolate", "Chocolate con leche", "Chocolate con leche caramelo Milka", "Tableta 100 g", 0.90
"Azúcar, caramelos y chocolate", "Chocolate", "Chocolate con leche", "Chocolate con leche porciones Hacendado", "Paquete 200 g", 1.95
"Azúcar, caramelos y chocolate", "Chocolate", "Chocolate con leche", "Chocolate con leche Valor almendras enteras", "Tableta 150 g", 2.70
"Azúcar, caramelos y chocolate", "Chocolate", "Chocolate con leche", "Chocolate con leche Milka galleta", "Tableta 300 g", 2.65
"Azúcar, caramelos y chocolate", "Chocolate", "Chocolate con leche", "Chocolate con leche Hacendado almendras troceadas", "Tableta 150 g", 1.00
"Azúcar, caramelos y chocolate", "Chocolate", "Chocolate con leche", "Chocolate con leche Hacendado almendra troceada y miel", "Tableta 100 g", 1.00
"Azúcar, caramelos y chocolate", "Chocolate", "Chocolate con leche", "Chocolate con leche Fussion Hacendado relleno sabor fresa", "Tableta 100 g", 0.80
"Azúcar, caramelos y chocolate", "Chocolate", "Chocolate con leche", "Fideos de chocolate Hacendado", "Paquete 100 g", 1.25
"Azúcar, caramelos y chocolate", "Chocolate", "Chocolate con leche", "Chocolate con leche fundir Hacendado", "Tableta 200 g", 1.20
"Azúcar, caramelos y chocolate", "Chocolate", "Chocolate con leche", "Chocolate con leche Bites Cadbury con relleno sabor vainilla y trozos de galleta", "Paquete 110 g", 1.20
"Azúcar, caramelos y chocolate", "Chocolate", "Chocolate con leche", "Chocolate con leche Crunchie Rocks Cadbury con copos de maíz y trozos de caramelo", "Paquete 110 g", 1.20
"Azúcar, caramelos y chocolate", "Chocolate", "Chocolate con leche", "Chocolate con leche extrafino cremoso Hacendado", "Tableta 150 g", 0.80
"Azúcar, caramelos y chocolate", "Chocolate", "Chocolate con leche", "Chocolate con leche Hacendado con avellanas", "Tableta 180 g", 1.35
"Azúcar, caramelos y chocolate", "Chocolate", "Chocolate con leche", "Chocolate con leche Fussion Hacendado relleno cremoso, avellanas y barquillo crujiente", "Tableta 100 g", 0.80
"Azúcar, caramelos y chocolate", "Chocolate", "Chocolate con leche", "Turrón de chocolate Cream avellana Hacendado", "Tableta 140 g", 1.50
"Azúcar, caramelos y chocolate", "Chocolate", "Chocolate con leche", "Porciones de turrón de chocolate crujiente Hacendado", "Paquete 10 porciones (170 g)", 1.95
"Azúcar, caramelos y chocolate", "Chocolate", "Chocolate blanco", "Chocolate blanco Hacendado", "Tableta 100 g", 0.60
"Azúcar, caramelos y chocolate", "Chocolate", "Chocolate blanco", "Chocolate blanco fundir Hacendado", "Tableta 200 g", 1.30
"Azúcar, caramelos y chocolate", "Chocolate", "Chocolate blanco", "Chocolate blanco Fussion Hacendado galletas al cacao", "Tableta 100 g", 0.80
"Azúcar, caramelos y chocolate", "Chocolate", "Chocolate blanco", "Chocolate blanco Fussion Hacendado relleno con cremoso de coco y almendras troceadas", "Tableta 100 g", 0.80
"Azúcar, caramelos y chocolate", "Chocolate", "Chocolatinas", "Barritas de barquillo Huesitos bañadas de chocolate con leche", "Paquete 10 ud. (200 g)", 1.85
"Azúcar, caramelos y chocolate", "Chocolate", "Chocolatinas", "Barritas de chocolate con leche Hacendado rellenas de leche", "Paquete 16 ud. (200 g)", 1.70
"Azúcar, caramelos y chocolate", "Chocolate", "Chocolatinas", "Barritas de barquillo Kit-Kat bañadas de chocolate con leche", "Paquete 5 ud. (207,5 g)", 2.25
"Azúcar, caramelos y chocolate", "Chocolate", "Chocolatinas", "Barritas de barquillo Tokke original", "Paquete 3 ud. (141 g)", 1.00
"Azúcar, caramelos y chocolate", "Chocolate", "Chocolatinas", "Barritas de barquillo Kinder Bueno bañadas de chocolate con leche", "3 paquetes x 43 g", 2.39
"Azúcar, caramelos y chocolate", "Chocolate", "Chocolatinas", "Disquitos Pintarolas de chocolate con leche coloreados", "Paquete 200 g", 1.45
"Azúcar, caramelos y chocolate", "Chocolate", "Chocolatinas", "Cacahuetes Hacendado chocolate negro", "Paquete 250 g", 1.85
"Azúcar, caramelos y chocolate", "Chocolate", "Chocolatinas", "Cacahuetes Hacendado chocolate con leche", "Paquete 250 g", 1.85
"Azúcar, caramelos y chocolate", "Chocolate", "Chocolatinas", "Barritas de chocolate con leche Kinder rellenas de leche", "Paquete 16 ud. (200 g)", 2.65
"Azúcar, caramelos y chocolate", "Chocolate", "Chocolatinas", "Barritas de galleta y caramelo Hacendado bañadas de chocolate con leche", "Paquete 5 ud. (200 g)", 1.20
"Azúcar, caramelos y chocolate", "Chocolate", "Chocolatinas", "Vasito con crema de cacao Choco Snack Hacendado con palitos de pan", "2 vasitos x 55 g", 1.05
"Azúcar, caramelos y chocolate", "Chocolate", "Chocolatinas", "Cacahuetes Chocoiris Hacendado bañados de chocolate con leche coloreados", "Paquete 180 g", 1.30
"Azúcar, caramelos y chocolate", "Chocolate", "Chocolatinas", "Huevos de chocolate Hacendado dibujo", "3 ud. x 20 g", 1.50
"Azúcar, caramelos y chocolate", "Chocolate", "Chocolatinas", "Almendras Hacendado chocolate negro", "Paquete 150 g", 1.90
"Azúcar, caramelos y chocolate", "Chocolate", "Chocolatinas", "Monedas de chocolate con leche", "Malla 70 g", 1.05
"Azúcar, caramelos y chocolate", "Chocolate", "Chocolatinas", "Bolas de cereal Hacendado bañadas de chocolate negro, con leche y blanco", "Paquete 200 g", 1.85
"Azúcar, caramelos y chocolate", "Chocolate", "Chocolatinas", "Barritas de barquillo Hacendado rellenas de avellanas y chocolate con leche", "Paquete 6 ud. (135 g)", 1.25
"Azúcar, caramelos y chocolate", "Chocolate", "Chocolatinas", "Barritas de barquillo Kinder Bueno white bañadas de chocolate blanco", "3 paquetes x 39 g", 2.39
"Azúcar, caramelos y chocolate", "Chocolate", "Chocolatinas", "Huevo de chocolate Hacendado", "50 g", 1.15
"Azúcar, caramelos y chocolate", "Chocolate", "Chocolatinas", "Nueces Hacendado chocolate con leche", "Paquete 150 g", 2.05
"Azúcar, caramelos y chocolate", "Chocolate", "Chocolatinas", "Huevo crema al cacao", "25 g", 0.95
"Azúcar, caramelos y chocolate", "Chocolate", "Chocolatinas", "Bombitas choco Hacendado palomitas bañadas al cacao", "Paquete 100 g", 1.10
